level_id,generator,width,height,solid_density,breakable_density,question_density,coin_density,powerup_density,pipe_density,reward_density,reward_count,enemy_density,enemy_goomba_density,enemy_koopa_density,enemy_spiky_density,enemy_bullet_density,enemy_types_present,gap_count,max_gap_width,gap_fraction,gap_frequency,surface_linearity_r2,surface_mean_abs_resid,surface_roughness,surface_mean_height,surface_height_range,vertical_solid_max,vertical_solid_mean,air_fraction,unique_column_ratio,column_entropy,tile_entropy,compression_ratio,leniency,ncd_to_original
genetic::lvl-1.txt,genetic,200.0,16.0,0.06,0.000625,0.0009375,0.0025,0.001875,0.0040625,0.004375,14.0,0.00125,0.0009375,0.0003125,0.0,0.0,2.0,5.0,4.0,0.075,0.025,0.006783477341122057,0.8721638040951025,0.3417085427135678,1.595,5.0,1.0,0.925,0.8909375,0.11,2.727341927588489,0.7300202098358533,0.0656298600311042,-0.08187499999999999,0.8436498899027284
genetic::lvl-10.txt,genetic,200.0,16.0,0.0928125,0.0009375,0.0,0.001875,0.0,0.0065625,0.001875,6.0,0.001875,0.00125,0.000625,0.0,0.0,2.0,1.0,3.0,0.015,0.005,0.07227527595246175,1.421422875571889,0.46733668341708545,2.92,5.0,2.0,1.065,0.8075,0.16,3.4587370871336898,1.0690210518279162,0.07091757387247279,-0.0225,0.8436338063329889
genetic::lvl-100.txt,genetic,200.0,16.0,0.07875,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0021875,0.0009375,0.00125,0.0,0.0,2.0,1.0,4.0,0.02,0.005,0.002756726311131219,1.1712355583889593,0.24120603015075376,1.835,5.0,2.0,0.99,0.8778125,0.085,1.9128195166511428,0.7580812297866576,0.05287713841368585,-0.0321875,0.8581759432199512
genetic::lvl-11.txt,genetic,200.0,16.0,0.07375,0.0003125,0.0003125,0.0009375,0.0,0.00875,0.0009375,3.0,0.000625,0.000625,0.0,0.0,0.0,1.0,2.0,3.0,0.025,0.01,0.033108056964097576,1.352908010200255,0.4020100502512563,2.2,5.0,2.0,1.03,0.8521875,0.115,2.5954284319392493,0.8874301985645459,0.06314152410575427,-0.0321875,0.8365119743262222
genetic::lvl-12.txt,genetic,200.0,16.0,0.0803125,0.0025,0.0009375,0.0015625,0.0003125,0.0,0.001875,6.0,0.0021875,0.000625,0.0015625,0.0,0.0,2.0,1.0,5.0,0.025,0.005,0.004848038495200213,1.349796257406435,0.4120603015075377,2.185,5.0,3.0,1.015,0.86375,0.13,2.892204251864024,0.8307654878992519,0.06189735614307931,-0.0378125,0.8443938563556225
genetic::lvl-13.txt,genetic,200.0,16.0,0.06625,0.000625,0.000625,0.0015625,0.0003125,0.004375,0.001875,6.0,0.0025,0.0009375,0.0015625,0.0,0.0,2.0,6.0,6.0,0.11,0.03,8.318455174116668e-05,1.3149937973449335,0.4472361809045226,2.035,5.0,2.0,0.93,0.864375,0.125,3.172498629469998,0.8403352615074849,0.07091757387247279,-0.125625,0.8343538282958722
genetic::lvl-14.txt,genetic,200.0,16.0,0.0746875,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0021875,0.0003125,0.001875,0.0,0.0,2.0,3.0,3.0,0.04,0.015,0.05837828170902093,1.3488976674416855,0.46733668341708545,2.49,5.0,2.0,0.995,0.838125,0.12,3.064289753015154,0.9181362755843001,0.06469673405909798,-0.0496875,0.8497035074508766
genetic::lvl-15.txt,genetic,200.0,16.0,0.073125,0.000625,0.0009375,0.0015625,0.0,0.009375,0.0015625,5.0,0.000625,0.0,0.000625,0.0,0.0,1.0,3.0,5.0,0.055,0.015,0.003651054493446715,1.4722163354083855,0.4723618090452261,2.13,5.0,3.0,1.02,0.85625,0.13,2.728408732201104,0.8787041304780134,0.0656298600311042,-0.0665625,0.8381387641825913
genetic::lvl-16.txt,genetic,200.0,16.0,0.06875,0.000625,0.0003125,0.00125,0.0,0.01,0.00125,4.0,0.0015625,0.00125,0.0003125,0.0,0.0,2.0,2.0,3.0,0.025,0.01,0.001038250297086929,1.2540459461486535,0.38190954773869346,2.19,5.0,1.0,0.975,0.85125,0.105,2.8406539262009654,0.9015740886173207,0.06936236391912909,-0.0328125,0.8521515476195626
genetic::lvl-17.txt,genetic,200.0,16.0,0.065625,0.000625,0.0015625,0.001875,0.0,0.00625,0.001875,6.0,0.001875,0.00125,0.000625,0.0,0.0,2.0,3.0,3.0,0.04,0.015,0.05954080643804871,0.9146949223730594,0.32160804020100503,1.81,5.0,2.0,0.975,0.8775,0.12,2.7130834858930264,0.7889312410766098,0.06283048211508553,-0.0475,0.8390037201315406
genetic::lvl-18.txt,genetic,200.0,16.0,0.0628125,0.0003125,0.0009375,0.0015625,0.0003125,0.0059375,0.001875,6.0,0.0025,0.0009375,0.0015625,0.0,0.0,2.0,2.0,5.0,0.04,0.01,0.010153383697143137,1.0360258531463282,0.33668341708542715,1.76,5.0,1.0,0.96,0.8803125,0.12,2.447346544504684,0.7740146745103376,0.06780715396578538,-0.053125000000000006,0.8402468777137979
genetic::lvl-19.txt,genetic,200.0,16.0,0.061875,0.0003125,0.0015625,0.003125,0.001875,0.0025,0.005,16.0,0.00125,0.000625,0.000625,0.0,0.0,2.0,6.0,6.0,0.11,0.03,0.004405765316546795,1.2415069976749418,0.4623115577889447,2.0,5.0,2.0,0.95,0.8665625,0.12,3.211993994034598,0.8273693417166654,0.06967340590979783,-0.12125,0.8443465577585959
genetic::lvl-2.txt,genetic,200.0,16.0,0.06125,0.0,0.0,0.0003125,0.000625,0.001875,0.0009375,3.0,0.0025,0.0015625,0.0009375,0.0,0.0,2.0,6.0,5.0,0.09,0.03,0.02105927395914331,1.075072331808295,0.41708542713567837,1.88,5.0,2.0,0.925,0.876875,0.1,2.7910135691067817,0.7638914440756038,0.06500777604976672,-0.1040625,0.8456724936843356
genetic::lvl-20.txt,genetic,200.0,16.0,0.0834375,0.0009375,0.0009375,0.00125,0.0,0.01,0.00125,4.0,0.0021875,0.000625,0.0015625,0.0,0.0,2.0,3.0,4.0,0.05,0.015,0.009429622149301653,1.2796484437110929,0.38190954773869346,2.195,5.0,2.0,1.01,0.8490625,0.135,3.046460143321162,0.9251128980652501,0.0671850699844479,-0.060937500000000006,0.8408500719413905
genetic::lvl-21.txt,genetic,200.0,16.0,0.081875,0.0015625,0.0003125,0.00125,0.0009375,0.0078125,0.0021875,7.0,0.003125,0.00125,0.001875,0.0,0.0,2.0,1.0,4.0,0.02,0.005,0.032621323655836476,1.4848435760894017,0.40703517587939697,2.3,5.0,2.0,1.02,0.846875,0.13,2.7569754163578595,0.9365577494456763,0.06438569206842924,-0.0309375,0.8486182432394959
